Hiring_ID,Position,Hiring_Date,Company,Location,Position_Type,Student_ID
1,Data Management Specialist,6/14/2021,Onecard,Remote,Full Time,40
2,Junior Data Scientist - Temporary Role,09/03/2021,ITCan,On-Site,Full Time,150
3,BI Data Analytics Engineer,11/01/2021,Emaxit,Remote,Full Time,130
4,Data Analyst,01/06/2022,TechRoots,Remote,Full Time,165
5,Senior Web Designer,04/12/2022,Arabian Advanced Systems,Remote,Full time,125
6,BI Data Analytics Engineer,7/25/2022,ECH,Remote,Full time,17
7,Data Analyst,8/20/2022,Union Coop,On-Site,Full time,44
8,BI Data Analytics Engineer,9/14/2022,Ditech Egypt,On-Site,Full time,58
9,Data Analyst,9/25/2022,LINK Development,On-Site,Full Time,180
10,Senior frontend web developer ( ReactJS-React Native),11/13/2022,Lgorithma,On-Site,Full Time,155
11,BI Developer,12/07/2022,Arabian Advanced Systems,Remote,Full Time,137
12,Junior Web Developer (Back-End) - Alexandria,12/19/2022,Kandil Industries,On-Site,Full Time,38
13,Junior Web Developer (Back-End) - Alexandria,04/08/2023,Maadi plotting Center,On-Site,Part Time,94
14,Data Management Specialist,4/20/2023,Cleopatra Cement,On-Site,Full time,187
15,Senior Business Intelligence Specialist,6/14/2021,BI-Technologies,Remote,Part Time,29
16,Financial Planning And Analysis,09/03/2021,Emaxit,Remote,Full Time,70
17,Senior Web Designer,11/01/2021,Confidential,Remote,Freelance Project,129
18,Senior Web Designer,01/06/2022,Trendster,Remote,Full Time,148
19,Web Developer,04/12/2022,ITCan,Remote,Freelance Project,14
20,Junior Data Scientist - Temporary Role,7/25/2022,Confidential,On-Site,Freelance Project,72
21,Senior BI Developer,8/20/2022,BI-Technologies,NULL,Full Time,8
22,Data Scientist,9/14/2022,Lumin,Remote,Full time,153
23,Application Support Engineer,9/25/2022,Union Coop,Remote,Full time,90
24,Hr Planning Specialist,11/13/2022,ITCan,On-Site,Full Time,156
25,Solution Specialist (Ax Developer),12/07/2022,Kandil Industries,On-Site,Full Time,141
26,Web Developer,12/19/2022,ITCan,Remote,Full Time,11
27,Junior Web Developer (Back-End) - Alexandria,04/08/2023,Confidential,Remote,Full Time,74
28,Senior Business Intelligence Specialist,4/20/2023,PAFT,Remote,Part Time,91
29,Junior Web Developer (Back-End) - Alexandria,6/14/2021,Arabian Advanced Systems,On-Site,Part Time,178
30,Web Developer,09/03/2021,Ditech Egypt,Remote,Full Time,196
31,Senior ETL Developer,11/01/2021,Edentech,On-Site,Part Time,173
32,Fleet Data Analyst,01/06/2022,AGG Information Technology,Remote,Part Time,120
33,Data Scientist Manager,04/12/2022,Premier Services and Recruitment Overseas,Remote,Full Time,124
34,Senior frontend web developer ( ReactJS-React Native),7/25/2022,Confidential,On-Site,Full Time,69
35,Senior Full Stack (.Net/Angular) Web Developer,8/20/2022,wolfers,Remote,Full time,33
36,Senior web developer,9/14/2022,Andalusia Group,On-Site,Part Time,182
38,Solution Specialist (Ax Developer),11/13/2022,SSC Egypt,Remote,Part Time,138
39,Financial planning and analysis Manager,12/07/2022,Emaxit,Remote,Full Time,197
40,Power BI Developer,12/19/2022,Ghabbour Auto,On-Site,Full Time,167
41,Junior Data Scientist/ML Engineer,04/08/2023,Lumin,Remote,Part Time,23
42,Data Analyst,4/20/2023,wolfers,On-Site,Full Time,66
43,.net web developer,6/14/2021,ITCan,On-Site,Full Time,47
44,Web/Hybrid App Developer (Angular,09/03/2021,Confidential,Remote,Part Time,20
45,Data Analyst,11/01/2021,Trendster,On-Site,Part Time,106
46,Web/Hybrid App Developer (Angular,01/06/2022,Premier Services and Recruitment,On-Site,Full Time,135
47,Web/Hybrid App Developer (Angular,04/12/2022,Confidential,On-Site,Full Time,118
48,Data Analyst,7/25/2022,Emaxit,On-Site,Full Time,179
49,.net web developer,8/20/2022,AGG Information Technology,Remote,Full Time,92
50,BI Data Analytics Engineer,9/14/2022,ITCan,Remote,Full Time,61
51,Junior Data Scientist - Temporary Role,9/25/2022,Lumin,On-Site,Full time,65
52,Solution Specialist (Ax Developer),11/13/2022,TechRoots,On-Site,Full Time,195
53,BI Data Analytics Engineer,12/07/2022,3S Software,On-Site,Full Time,175
54,Power BI Developer,12/19/2022,Premier Services and Recruitment Overseas,Remote,Part Time,54
55,Data Analyst,04/08/2023,Trendster,On-Site,Full Time,76
56,Senior BI Developer,4/20/2023,Seoudi Supermarket,On-Site,Full Time,172
57,Hr Planning Specialist,6/14/2021,Arabic Localizer,On-Site,Full Time,128
58,Junior Data Scientist - Temporary Role,09/03/2021,Confidential,On-Site,Full Time,132
59,Data Analyst,11/01/2021,Premier Services and Recruitment,NULL,Part Time,19
60,Data Scientist Manager,8/20/2022,Premier Services and Recruitment Overseas,Remote,Part Time,1
61,Senior BI Developer,9/14/2022,3S Software,On-Site,Full Time,43
62,Senior Web Designer,9/25/2022,Seoudi Supermarket,On-Site,Full Time,46
63,Hr Planning Specialist,11/13/2022,Andalusia Group,On-Site,Full time,41
64,Data Analyst,12/07/2022,Onecard,On-Site,Full Time,186
65,Full Stack Web Developer,12/19/2022,Trendster,On-Site,Full Time,147
