Question_ID,Question_Text,Question_Type,Question_Mark,Exam_ID
1,What is the purpose of a primary key in a database table?,MCQ,4,1
2,A foreign key is used to link two tables together.,TF,3,1
3,Which SQL command is used to retrieve data from a database?,MCQ,4,1
4,A table can have more than one primary key.,TF,3,1
5,What does SQL stand for?,MCQ,4,1
6,The SELECT statement is used to delete records.,TF,3,1
7,Which SQL clause is used to sort query results?,MCQ,4,1
8,NULL values represent missing or unknown data.,TF,3,1
9,Which command is used to create a new table in SQL?,MCQ,4,1
10,Every column in a table must have a unique name.,TF,3,1
11,What type of SQL join returns all records when there is a match in either table?,MCQ,4,1
12,A view is a virtual table based on the result-set of an SQL statement.,TF,3,1
13,Which command is used to remove a table from a database?,MCQ,4,1
14,A WHERE clause is used to filter records.,TF,3,1
15,What is the default sort order of the ORDER BY clause?,MCQ,4,1
16,You can insert multiple rows in a table using a single INSERT command.,TF,3,1
17,Which SQL statement is used to modify existing data in a table?,MCQ,4,1
18,The GROUP BY clause is used with aggregate functions like COUNT and AVG.,TF,3,1
19,What keyword is used to remove duplicate rows from a query result?,MCQ,4,1
20,A stored procedure is a compiled set of SQL statements that can be executed repeatedly.,TF,3,1
21,What is the first step in any data analysis process?,MCQ,5,2
22,Data cleaning is a part of the data preparation phase.,TF,5,2
23,Which programming language is commonly used for data analytics?,MCQ,5,2
24,Correlation implies causation.,TF,5,2
25,What is the purpose of exploratory data analysis (EDA)?,MCQ,5,2
26,Descriptive statistics summarize the main features of a dataset.,TF,5,2
27,Which chart is best for showing the distribution of a numerical variable?,MCQ,5,2
28,"Mean, median, and mode are all measures of central tendency.",TF,5,2
29,What does the term “outlier” refer to in data analysis?,MCQ,5,2
30,Standard deviation measures data spread from the mean.,TF,5,2
31,Which tool is widely used for data visualization?,MCQ,5,2
32,"Data analytics can be classified into descriptive, diagnostic, predictive, and prescriptive types.",TF,5,2
33,What is the purpose of a pivot table?,MCQ,5,2
34,"In data analytics, dashboards are used for interactive data display.",TF,5,2
35,What does KPI stand for in analytics?,MCQ,5,2
36,Data normalization adjusts values measured on different scales to a common scale.,TF,5,2
37,Which technique is used to predict future outcomes based on historical data?,MCQ,5,2
38,"Data can be structured, semi-structured, or unstructured.",TF,5,2
39,What is the process of converting raw data into meaningful insights called?,MCQ,5,2
40,A histogram is useful for visualizing frequency distribution.,TF,5,2
41,What is the primary goal of data visualization?,MCQ,3,3
42,Bar charts are ideal for comparing categorical data.,TF,4,3
43,Which chart is best suited for displaying trends over time?,MCQ,4,3
44,A heatmap is used to show data density.,TF,4,3
45,Which color scheme is best for representing sequential data?,MCQ,4,3
46,Pie charts are the most accurate way to compare data portions.,TF,3,3
47,What is a key advantage of using interactive dashboards?,MCQ,4,3
48,Line charts can be used to visualize continuous data.,TF,4,3
49,Which visualization technique helps identify outliers quickly?,MCQ,4,3
50,Good visualizations reduce cognitive load on the audience.,TF,4,3
51,What is the difference between a histogram and a bar chart?,MCQ,4,3
52,Scatter plots are useful for showing relationships between two variables.,TF,4,3
53,What is a treemap used for in data visualization?,MCQ,4,3
54,"A data dashboard should always use bright, vibrant colors.",TF,3,3
55,Which tool is commonly used for business intelligence dashboards?,MCQ,4,3
56,Consistency in design enhances readability of visualizations.,TF,4,3
57,What is the key purpose of data storytelling in visualization?,MCQ,4,3
58,Overplotting can obscure patterns in data.,TF,3,3
59,Which plot type shows data distribution using quartiles and medians?,MCQ,4,3
60,A cluttered dashboard increases insight clarity.,TF,3,3
61,What is the main purpose of version control in software development?,MCQ,5,4
62,A compiler translates source code into machine code.,TF,5,4
63,What is the difference between a class and an object in OOP?,MCQ,5,4
64,Encapsulation is a core principle of object-oriented programming.,TF,5,4
65,Which language is primarily used for developing Android apps?,MCQ,5,4
66,An algorithm is a step-by-step solution to a problem.,TF,5,4
67,What does the term “agile” refer to in software development?,MCQ,5,4
68,Unit testing helps ensure individual parts of software work as expected.,TF,5,4
69,Which software development model is known for its sequential phases?,MCQ,5,4
70,Debugging is the process of finding and fixing errors in code.,TF,5,4
71,What is the main purpose of an IDE in programming?,MCQ,5,4
72,Source code is the final executable version of a program.,TF,5,4
73,Which data structure uses FIFO (First In First Out)?,MCQ,5,4
74,A stack follows the LIFO principle.,TF,5,4
75,What is recursion in programming?,MCQ,5,4
76,Infinite loops can crash a program.,TF,5,4
77,What is a primary benefit of code refactoring?,MCQ,5,4
78,Code comments help in understanding the logic.,TF,5,4
79,What’s the difference between a compiled and interpreted language?,MCQ,5,4
80,A syntax error occurs when the code violates language grammar rules.,TF,5,4
81,What is the purpose of a project retrospective in a workshop setting?,MCQ,5,5
82,Hands-on practice enhances skill retention more than theoretical learning.,TF,5,5
83,Which tool is commonly used for collaborative team workshops?,MCQ,5,5
84,Feedback is essential for improving practical skills.,TF,5,5
85,What is the first step when starting a practical workshop project?,MCQ,5,5
86,Safety protocols should always be followed in a practical environment.,TF,5,5
87,Which approach is best for managing a workshop team task?,MCQ,5,5
88,Practical workshops often simulate real-world scenarios.,TF,5,5
89,What does a Gantt chart represent in project planning?,MCQ,5,5
90,Time management is crucial for successful workshop completion.,TF,5,5
91,Which method is effective for breaking down a complex task in a workshop?,MCQ,5,5
92,Peer reviews help improve the quality of workshop outcomes.,TF,5,5
93,What is the key benefit of working in pairs during a workshop?,MCQ,5,5
