ST_ID,Certificate_ID
1,1
2,2
2,3
2,4
2,5
2,6
2,7
2,8
2,9
2,10
2,11
2,12
2,13
2,14
2,15
2,16
2,17
2,18
2,19
2,20
2,21
2,22
2,23
2,24
2,25
2,26
5,27
5,28
5,29
4,30
4,31
4,32
4,33
4,34
4,35
3,36
3,37
3,38
3,39
6,40
7,41
8,42
9,43
10,44
11,45
12,46
13,47
14,48
15,49
16,50
17,51
18,52
19,53
20,54
21,55
22,56
23,57
24,58
25,59
26,60
27,61
28,62
29,63
30,64
31,65
32,66
33,67
34,68
35,69
36,70
37,71
38,72
39,73
40,74
41,75
42,76
43,77
44,78
45,79
46,80
47,81
48,82
49,83
50,84
51,85
52,86
53,87
54,88
55,89
56,90
57,91
58,92
59,93
60,94
61,95
62,96
63,97
64,98
65,99
66,100
67,101
68,102
69,103
70,104
71,105
72,106
73,107
74,108
75,109
76,110
77,111
78,112
79,113
80,114
81,115
82,116
83,117
84,118
85,119
86,120
87,121
88,122
89,123
90,124
91,125
92,126
93,127
94,128
95,129
96,130
97,131
98,132
99,133
100,134
101,135
102,136
103,137
104,138
105,139
106,140
107,141
108,142
109,143
110,144
111,145
112,146
113,147
114,148
115,149
116,150
117,151
118,152
119,153
120,154
121,155
122,156
123,157
124,158
125,159
126,160
127,161
128,162
129,163
130,164
131,165
132,166
133,167
134,168
135,169
136,170
137,171
138,172
139,173
140,174
141,175
142,176
143,177
144,178
145,179
146,180
147,181
148,182
149,183
150,184
151,185
152,186
153,187
154,188
155,189
156,190
157,191
158,192
159,193
160,194
161,195
162,196
163,197
164,198
165,199
166,200
167,201
168,202
169,172
170,173
171,174
172,175
173,176
174,177
175,145
176,146
177,147
178,148
179,149
180,120
181,98
182,77
183,54
184,35
185,99
186,150
187,167
188,20
189,19
190,28
191,98
192,77
193,45
194,68
195,15
196,72
197,60
198,200
199,36
1,6
1,90
